model	nDCG
DMF_seed=42_e=10_bs=256_lr=0$0001_umlp=64-64_imlp=64-64_negratio=5_reg=0$01_sim=cosine	0.013802200016817107
DMF_seed=42_e=10_bs=256_lr=0$0001_umlp=64-64_imlp=64-64_negratio=5_reg=1_sim=cosine	0.013802200016817107
DMF_seed=42_e=10_bs=256_lr=0$001_umlp=64-64_imlp=64-64_negratio=5_reg=0$01_sim=cosine	0.007215298683040474
DMF_seed=42_e=10_bs=256_lr=0$001_umlp=64-64_imlp=64-64_negratio=5_reg=1_sim=cosine	0.007215298683040474
DMF_seed=42_e=10_bs=256_lr=0$01_umlp=64-64_imlp=64-64_negratio=5_reg=0$001_sim=cosine	0.0035320113980137195
DMF_seed=42_e=10_bs=256_lr=0$01_umlp=64-64_imlp=64-64_negratio=5_reg=0$01_sim=cosine	0.0035320113980137195
DMF_seed=42_e=10_bs=256_lr=0$01_umlp=64-64_imlp=64-64_negratio=5_reg=0$1_sim=cosine	0.0035320113980137195
DMF_seed=42_e=10_bs=256_lr=0$01_umlp=64-64_imlp=64-64_negratio=5_reg=1_sim=cosine	0.0035320113980137195
DMF_seed=42_e=10_bs=256_lr=0$1_umlp=64-64_imlp=64-64_negratio=5_reg=0$001_sim=cosine	0.0024002279855308835
DMF_seed=42_e=10_bs=256_lr=0$1_umlp=64-64_imlp=64-64_negratio=5_reg=0$01_sim=cosine	0.0024002279855308835
DMF_seed=42_e=10_bs=256_lr=0$1_umlp=64-64_imlp=64-64_negratio=5_reg=1_sim=cosine	0.0024002279855308835
